Statistic,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2017Q2,30 Eastern Region,Social code offences (n.e.c.),Number,44
Recorded Crime Offences Under Reservation,2017Q2,30 Eastern Region,"Offences against government, justice procedures and organisation of crime",Number,477
Recorded Crime Offences Under Reservation,2017Q2,30 Eastern Region,Offences against government and its agents,Number,9
Recorded Crime Offences Under Reservation,2017Q2,30 Eastern Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded Crime Offences Under Reservation,2017Q2,30 Eastern Region,Perverting the course of justice,Number,2
Recorded Crime Offences Under Reservation,2017Q2,30 Eastern Region,"Offences while in custody, breach of court orders",Number,465
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Homicide offences,Number,4
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Murder,Number,1
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Manslaughter,Number,2
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Dangerous driving leading to death,Number,1
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Sexual offences,Number,182
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Rape and sexual assault,Number,164
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Other sexual offences,Number,18
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1214
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Murder-attempt,Number,1
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Threat to kill or cause serious harm,Number,43
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Harassment and related offences,Number,114
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Assault causing harm, poisoning",Number,244
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Other assault,Number,812
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Dangerous or negligent acts,Number,626
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Dangerous driving causing serious bodily harm,Number,1
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,559
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs,Number,22
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Endangerment with potential for serious harm/death,Number,7
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Abandoning a child, child neglect and cruelty",Number,24
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Endangering traffic offences,Number,13
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Kidnapping and related offences,Number,11
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,False imprisonment,Number,5
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Abduction of person under 16 years of age,Number,4
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Human trafficking offences,Number,2
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Robbery, extortion and hijacking offences",Number,51
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Robbery of an establishment or institution,Number,10
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Robbery of cash or goods in transit,Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Robbery from the person,Number,37
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Blackmail or extortion,Number,4
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Burglary and related offences,Number,606
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Aggravated burglary,Number,10
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Burglary (not aggravated),Number,583
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,13
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Theft and related offences,Number,2830
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Theft/taking of vehicle and related offences,Number,191
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Theft from person,Number,54
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Theft from shop,Number,1186
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Other thefts, handling stolen property",Number,1399
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Fraud, deception and related offences",Number,219
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Controlled drug offences,Number,1008
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Importation of drugs,Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Cultivation or manufacture of drugs,Number,17
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Possession of drugs for sale or supply,Number,184
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Possession of drugs for personal use,Number,769
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Other drug offences,Number,38
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Weapons and Explosives Offences,Number,104
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Explosives, chemical weapons offences",Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Discharging a firearm,Number,3
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Possession of a firearm,Number,12
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Offensive weapons offences (n.e.c.),Number,89
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Fireworks offences,Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Damage to property and to the environment,Number,1171
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Arson,Number,97
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Criminal damage (not arson),Number,1058
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Litter offences,Number,16
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Public order and other social code offences,Number,2128
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Disorderly conduct,Number,1807
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Trespass offences,Number,107
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Liquor licensing offences,Number,101
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Prostitution offences,Number,5
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Regulated betting/money, collection/trading offences",Number,7
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Social code offences (n.e.c.),Number,101
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Offences against government, justice procedures and organisation of crime",Number,636
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Offences against government and its agents,Number,13
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,Perverting the course of justice,Number,4
Recorded Crime Offences Under Reservation,2017Q2,40 Southern Region,"Offences while in custody, breach of court orders",Number,619
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Homicide offences,Number,12
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Murder,Number,10
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Manslaughter,Number,0
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,2
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Sexual offences,Number,207
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Rape and sexual assault,Number,175
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Other sexual offences,Number,32
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1500
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Murder-attempt,Number,1
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,66
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Harassment and related offences,Number,103
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,323
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Other assault,Number,1007
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,411
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,0
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,330
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,14
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,9
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,30
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Endangering traffic offences,Number,28
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,11
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,False imprisonment,Number,6
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,2
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Human trafficking offences,Number,3
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,330
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Robbery of an establishment or institution,Number,116
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Robbery of cash or goods in transit,Number,3
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Robbery from the person,Number,191
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Blackmail or extortion,Number,5
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,15
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Burglary and related offences,Number,2063
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Aggravated burglary,Number,30
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,1940
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,93
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Theft and related offences,Number,9321
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,647
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Theft from person,Number,967
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Theft from shop,Number,2796
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,4911
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,520
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Controlled drug offences,Number,1646
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Importation of drugs,Number,4
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,10
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,498
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,1089
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Other drug offences,Number,45
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,301
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,3
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Discharging a firearm,Number,12
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Possession of a firearm,Number,26
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,246
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Fireworks offences,Number,14
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,2204
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Arson,Number,152
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,2048
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Litter offences,Number,4
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Public order and other social code offences,Number,2781
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Disorderly conduct,Number,2053
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Trespass offences,Number,225
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Liquor licensing offences,Number,27
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Prostitution offences,Number,3
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,22
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,451
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,1900
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Offences against government and its agents,Number,17
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,Perverting the course of justice,Number,6
Recorded Crime Offences Under Reservation,2017Q3,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,1876
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Homicide offences,Number,7
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Murder,Number,1
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Manslaughter,Number,0
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Dangerous driving leading to death,Number,6
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Sexual offences,Number,124
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Rape and sexual assault,Number,107
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Other sexual offences,Number,17
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1085
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Threat to kill or cause serious harm,Number,47
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Harassment and related offences,Number,100
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Assault causing harm, poisoning",Number,212
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Other assault,Number,726
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Dangerous or negligent acts,Number,523
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Dangerous driving causing serious bodily harm,Number,0
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,480
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,10
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Endangerment with potential for serious harm/death,Number,11
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,12
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,1
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Endangering traffic offences,Number,9
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Kidnapping and related offences,Number,5
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,False imprisonment,Number,0
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Abduction of person under 16 years of age,Number,1
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Human trafficking offences,Number,4
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Robbery, extortion and hijacking offences",Number,44
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Robbery of an establishment or institution,Number,7
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Robbery of cash or goods in transit,Number,0
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Robbery from the person,Number,32
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Blackmail or extortion,Number,4
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,1
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Burglary and related offences,Number,761
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Aggravated burglary,Number,10
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Burglary (not aggravated),Number,745
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand)",Number,6
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Theft and related offences,Number,2123
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Theft/taking of vehicle and related offences,Number,147
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Theft from person,Number,39
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Theft from shop,Number,719
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Other thefts, handling stolen property",Number,1218
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Fraud, deception and related offences",Number,246
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Controlled drug offences,Number,445
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Importation of drugs,Number,1
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Cultivation or manufacture of drugs,Number,17
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Possession of drugs for sale or supply,Number,88
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Possession of drugs for personal use,Number,329
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Other drug offences,Number,10
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Weapons and Explosives Offences,Number,112
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Explosives, chemical weapons offences",Number,3
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Discharging a firearm,Number,2
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Possession of a firearm,Number,8
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Offensive weapons offences (n.e.c.),Number,92
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Fireworks offences,Number,7
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Damage to property and to the environment,Number,1075
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Arson,Number,90
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Criminal damage (not arson),Number,972
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Litter offences,Number,13
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Public order and other social code offences,Number,1750
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Disorderly conduct,Number,1518
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Trespass offences,Number,120
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Liquor licensing offences,Number,42
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Prostitution offences,Number,4
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Regulated betting/money, collection/trading offences",Number,15
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Social code offences (n.e.c.),Number,51
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Offences against government, justice procedures and organisation of crime",Number,313
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Offences against government and its agents,Number,10
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,Perverting the course of justice,Number,1
Recorded Crime Offences Under Reservation,2017Q3,20 North Western Region,"Offences while in custody, breach of court orders",Number,302
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Homicide offences,Number,5
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Murder,Number,3
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Manslaughter,Number,1
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Dangerous driving leading to death,Number,1
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Sexual offences,Number,168
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Rape and sexual assault,Number,152
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Other sexual offences,Number,16
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1095
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Murder-attempt,Number,1
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Threat to kill or cause serious harm,Number,45
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Harassment and related offences,Number,73
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Assault causing harm, poisoning",Number,226
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Other assault,Number,750
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Dangerous or negligent acts,Number,561
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Dangerous driving causing serious bodily harm,Number,3
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,512
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs,Number,10
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Endangerment with potential for serious harm/death,Number,8
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Abandoning a child, child neglect and cruelty",Number,21
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Endangering traffic offences,Number,7
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Kidnapping and related offences,Number,1
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,False imprisonment,Number,0
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Abduction of person under 16 years of age,Number,0
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Human trafficking offences,Number,1
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Robbery, extortion and hijacking offences",Number,72
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Robbery of an establishment or institution,Number,27
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Robbery of cash or goods in transit,Number,0
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Robbery from the person,Number,33
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Blackmail or extortion,Number,9
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,3
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Burglary and related offences,Number,1275
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Aggravated burglary,Number,10
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Burglary (not aggravated),Number,1249
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,16
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Theft and related offences,Number,3919
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Theft/taking of vehicle and related offences,Number,234
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Theft from person,Number,90
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Theft from shop,Number,1358
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Other thefts, handling stolen property",Number,2237
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Fraud, deception and related offences",Number,201
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Controlled drug offences,Number,1286
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Importation of drugs,Number,0
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Cultivation or manufacture of drugs,Number,23
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Possession of drugs for sale or supply,Number,219
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Possession of drugs for personal use,Number,1012
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Other drug offences,Number,32
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Weapons and Explosives Offences,Number,104
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Explosives, chemical weapons offences",Number,1
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Discharging a firearm,Number,4
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Possession of a firearm,Number,14
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Offensive weapons offences (n.e.c.),Number,78
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Fireworks offences,Number,7
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Damage to property and to the environment,Number,1372
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Arson,Number,109
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Criminal damage (not arson),Number,1251
