Statistic,Year,Area of Residence,Age Group of Mother,UNIT,VALUE
Births,2017,Offaly,30 - 34 years,Number,333
Births,2017,Offaly,35 - 39 years,Number,271
Births,2017,Offaly,40 - 44 years,Number,52
Births,2017,Offaly,45 years and over,Number,6
Births,2017,Offaly,Age not stated,Number,
Births,2017,Offaly,All ages,Number,1011
Births,2017,Birr Town,Under 20 years,Number,1
Births,2017,Birr Town,20 - 24 years,Number,11
Births,2017,Birr Town,25 - 29 years,Number,18
Births,2017,Birr Town,30 - 34 years,Number,20
Births,2017,Birr Town,35 - 39 years,Number,15
Births,2017,Birr Town,40 - 44 years,Number,2
Births,2017,Birr Town,45 years and over,Number,
Births,2017,Birr Town,Age not stated,Number,
Births,2017,Birr Town,All ages,Number,67
Births,2017,Tullamore Town,Under 20 years,Number,7
Births,2017,Tullamore Town,20 - 24 years,Number,28
Births,2017,Tullamore Town,25 - 29 years,Number,47
Births,2017,Tullamore Town,30 - 34 years,Number,44
Births,2017,Tullamore Town,35 - 39 years,Number,44
Births,2017,Tullamore Town,40 - 44 years,Number,10
Births,2017,Tullamore Town,45 years and over,Number,2
Births,2017,Tullamore Town,Age not stated,Number,
Births,2017,Tullamore Town,All ages,Number,182
Births,2017,Edenderry,Under 20 years,Number,3
Births,2017,Edenderry,20 - 24 years,Number,19
Births,2017,Edenderry,25 - 29 years,Number,26
Births,2017,Edenderry,30 - 34 years,Number,25
Births,2017,Edenderry,35 - 39 years,Number,27
Births,2017,Edenderry,40 - 44 years,Number,6
Births,2017,Edenderry,45 years and over,Number,2
Births,2017,Edenderry,Age not stated,Number,
Births,2017,Edenderry,All ages,Number,108
Births,2017,Rest of Co. Offaly,Under 20 years,Number,8
Births,2017,Rest of Co. Offaly,20 - 24 years,Number,65
Births,2017,Rest of Co. Offaly,25 - 29 years,Number,116
Births,2017,Rest of Co. Offaly,30 - 34 years,Number,244
Births,2017,Rest of Co. Offaly,35 - 39 years,Number,185
Births,2017,Rest of Co. Offaly,40 - 44 years,Number,34
Births,2017,Rest of Co. Offaly,45 years and over,Number,2
Births,2017,Rest of Co. Offaly,Age not stated,Number,
Births,2017,Rest of Co. Offaly,All ages,Number,654
Births,2017,Westmeath,Under 20 years,Number,23
Births,2017,Westmeath,20 - 24 years,Number,117
Births,2017,Westmeath,25 - 29 years,Number,262
Births,2017,Westmeath,30 - 34 years,Number,448
Births,2017,Westmeath,35 - 39 years,Number,362
Births,2017,Westmeath,40 - 44 years,Number,61
Births,2017,Westmeath,45 years and over,Number,7
Births,2017,Westmeath,Age not stated,Number,
Births,2017,Westmeath,All ages,Number,1280
Births,2017,Athlone Town,Under 20 years,Number,6
Births,2017,Athlone Town,20 - 24 years,Number,23
Births,2017,Athlone Town,25 - 29 years,Number,56
Births,2017,Athlone Town,30 - 34 years,Number,78
Births,2017,Athlone Town,35 - 39 years,Number,65
Births,2017,Athlone Town,40 - 44 years,Number,14
Births,2017,Athlone Town,45 years and over,Number,
Births,2017,Athlone Town,Age not stated,Number,
Births,2017,Athlone Town,All ages,Number,242
Births,2017,Mullingar,Under 20 years,Number,6
Births,2017,Mullingar,20 - 24 years,Number,34
Births,2017,Mullingar,25 - 29 years,Number,44
Births,2017,Mullingar,30 - 34 years,Number,60
Births,2017,Mullingar,35 - 39 years,Number,43
Births,2017,Mullingar,40 - 44 years,Number,6
Births,2017,Mullingar,45 years and over,Number,1
Births,2017,Mullingar,Age not stated,Number,
Births,2017,Mullingar,All ages,Number,194
Births,2017,Rest of Co. Westmeath,Under 20 years,Number,11
Births,2017,Rest of Co. Westmeath,20 - 24 years,Number,60
Births,2017,Rest of Co. Westmeath,25 - 29 years,Number,162
Births,2017,Rest of Co. Westmeath,30 - 34 years,Number,310
Births,2017,Rest of Co. Westmeath,35 - 39 years,Number,254
Births,2017,Rest of Co. Westmeath,40 - 44 years,Number,41
Births,2017,Rest of Co. Westmeath,45 years and over,Number,6
Births,2017,Rest of Co. Westmeath,Age not stated,Number,
Births,2017,Rest of Co. Westmeath,All ages,Number,844
Births,2017,Wexford,Under 20 years,Number,59
Births,2017,Wexford,20 - 24 years,Number,213
Births,2017,Wexford,25 - 29 years,Number,389
Births,2017,Wexford,30 - 34 years,Number,625
Births,2017,Wexford,35 - 39 years,Number,494
Births,2017,Wexford,40 - 44 years,Number,120
Births,2017,Wexford,45 years and over,Number,7
Births,2017,Wexford,Age not stated,Number,
Births,2017,Wexford,All ages,Number,1907
Births,2017,Enniscorthy Town,Under 20 years,Number,2
Births,2017,Enniscorthy Town,20 - 24 years,Number,8
Births,2017,Enniscorthy Town,25 - 29 years,Number,6
Births,2017,Enniscorthy Town,30 - 34 years,Number,13
Births,2017,Enniscorthy Town,35 - 39 years,Number,12
Births,2017,Enniscorthy Town,40 - 44 years,Number,2
Births,2017,Enniscorthy Town,45 years and over,Number,
Births,2017,Enniscorthy Town,Age not stated,Number,
Births,2017,Enniscorthy Town,All ages,Number,43
Births,2017,New Ross Town,Under 20 years,Number,6
Births,2017,New Ross Town,20 - 24 years,Number,14
Births,2017,New Ross Town,25 - 29 years,Number,25
Births,2017,New Ross Town,30 - 34 years,Number,19
Births,2017,New Ross Town,35 - 39 years,Number,18
Births,2017,New Ross Town,40 - 44 years,Number,4
Births,2017,New Ross Town,45 years and over,Number,
Births,2017,New Ross Town,Age not stated,Number,
Births,2017,New Ross Town,All ages,Number,86
Births,2017,Wexford Borough,Under 20 years,Number,12
Births,2017,Wexford Borough,20 - 24 years,Number,31
Births,2017,Wexford Borough,25 - 29 years,Number,61
Births,2017,Wexford Borough,30 - 34 years,Number,78
Births,2017,Wexford Borough,35 - 39 years,Number,56
Births,2017,Wexford Borough,40 - 44 years,Number,13
Births,2017,Wexford Borough,45 years and over,Number,
Births,2017,Wexford Borough,Age not stated,Number,
Births,2017,Wexford Borough,All ages,Number,251
Births,2017,Gorey,Under 20 years,Number,1
Births,2017,Gorey,20 - 24 years,Number,7
Births,2017,Gorey,25 - 29 years,Number,9
Births,2017,Gorey,30 - 34 years,Number,25
Births,2017,Gorey,35 - 39 years,Number,10
Births,2017,Gorey,40 - 44 years,Number,4
Births,2017,Gorey,45 years and over,Number,
Births,2017,Gorey,Age not stated,Number,
Births,2017,Gorey,All ages,Number,56
Births,2017,Rest of Co. Wexford,Under 20 years,Number,38
Births,2017,Rest of Co. Wexford,20 - 24 years,Number,153
Births,2017,Rest of Co. Wexford,25 - 29 years,Number,288
Births,2017,Rest of Co. Wexford,30 - 34 years,Number,490
Births,2017,Rest of Co. Wexford,35 - 39 years,Number,398
Births,2017,Rest of Co. Wexford,40 - 44 years,Number,97
Births,2017,Rest of Co. Wexford,45 years and over,Number,7
Births,2017,Rest of Co. Wexford,Age not stated,Number,
Births,2017,Rest of Co. Wexford,All ages,Number,1471
Births,2017,Munster,Under 20 years,Number,251
Births,2017,Munster,20 - 24 years,Number,1313
Births,2017,Munster,25 - 29 years,Number,2696
Births,2017,Munster,30 - 34 years,Number,5673
Births,2017,Munster,35 - 39 years,Number,4889
Births,2017,Munster,40 - 44 years,Number,993
Births,2017,Munster,45 years and over,Number,67
Births,2017,Munster,Age not stated,Number,
Births,2017,Munster,All ages,Number,15882
Births,2017,Waterford County,Under 20 years,Number,15
Births,2017,Waterford County,20 - 24 years,Number,76
Births,2017,Waterford County,25 - 29 years,Number,142
Births,2017,Waterford County,30 - 34 years,Number,292
Births,2017,Waterford County,35 - 39 years,Number,254
Births,2017,Waterford County,40 - 44 years,Number,57
Births,2017,Waterford County,45 years and over,Number,3
Births,2017,Waterford County,Age not stated,Number,
Births,2017,Waterford County,All ages,Number,839
Births,2017,Dungarvan Town,Under 20 years,Number,1
Births,2017,Dungarvan Town,20 - 24 years,Number,12
Births,2017,Dungarvan Town,25 - 29 years,Number,20
Births,2017,Dungarvan Town,30 - 34 years,Number,28
Births,2017,Dungarvan Town,35 - 39 years,Number,30
Births,2017,Dungarvan Town,40 - 44 years,Number,4
Births,2017,Dungarvan Town,45 years and over,Number,
Births,2017,Dungarvan Town,Age not stated,Number,
Births,2017,Dungarvan Town,All ages,Number,95
Births,2017,Lismore,Under 20 years,Number,
Births,2017,Lismore,20 - 24 years,Number,1
Births,2017,Lismore,25 - 29 years,Number,2
Births,2017,Lismore,30 - 34 years,Number,6
Births,2017,Lismore,35 - 39 years,Number,3
Births,2017,Lismore,40 - 44 years,Number,1
Births,2017,Lismore,45 years and over,Number,
Births,2017,Lismore,Age not stated,Number,
Births,2017,Lismore,All ages,Number,13
Births,2017,Tramore,Under 20 years,Number,3
Births,2017,Tramore,20 - 24 years,Number,5
Births,2017,Tramore,25 - 29 years,Number,9
Births,2017,Tramore,30 - 34 years,Number,32
Births,2017,Tramore,35 - 39 years,Number,25
Births,2017,Tramore,40 - 44 years,Number,4
Births,2017,Tramore,45 years and over,Number,1
Births,2017,Tramore,Age not stated,Number,
Births,2017,Tramore,All ages,Number,79
Births,2017,Rest of Waterford,Under 20 years,Number,11
Births,2017,Rest of Waterford,20 - 24 years,Number,58
Births,2017,Rest of Waterford,25 - 29 years,Number,111
Births,2017,Rest of Waterford,30 - 34 years,Number,226
Births,2017,Rest of Waterford,35 - 39 years,Number,196
Births,2017,Rest of Waterford,40 - 44 years,Number,48
Births,2017,Rest of Waterford,45 years and over,Number,2
Births,2017,Rest of Waterford,Age not stated,Number,
Births,2017,Rest of Waterford,All ages,Number,652
Births,2017,Waterford City,Under 20 years,Number,14
Births,2017,Waterford City,20 - 24 years,Number,70
Births,2017,Waterford City,25 - 29 years,Number,149
Births,2017,Waterford City,30 - 34 years,Number,164
Births,2017,Waterford City,35 - 39 years,Number,133
Births,2017,Waterford City,40 - 44 years,Number,33
Births,2017,Waterford City,45 years and over,Number,1
Births,2017,Waterford City,Age not stated,Number,
Births,2017,Waterford City,All ages,Number,564
Births,2017,Clare,Under 20 years,Number,19
Births,2017,Clare,20 - 24 years,Number,119
Births,2017,Clare,25 - 29 years,Number,221
Births,2017,Clare,30 - 34 years,Number,498
Births,2017,Clare,35 - 39 years,Number,460
Births,2017,Clare,40 - 44 years,Number,97
Births,2017,Clare,45 years and over,Number,6
Births,2017,Clare,Age not stated,Number,
Births,2017,Clare,All ages,Number,1420
Births,2017,Ennis Town,Under 20 years,Number,11
Births,2017,Ennis Town,20 - 24 years,Number,31
Births,2017,Ennis Town,25 - 29 years,Number,48
Births,2017,Ennis Town,30 - 34 years,Number,110
Births,2017,Ennis Town,35 - 39 years,Number,83
Births,2017,Ennis Town,40 - 44 years,Number,23
Births,2017,Ennis Town,45 years and over,Number,
Births,2017,Ennis Town,Age not stated,Number,
Births,2017,Ennis Town,All ages,Number,306
Births,2017,Kilrush Town,Under 20 years,Number,2
Births,2017,Kilrush Town,20 - 24 years,Number,8
Births,2017,Kilrush Town,25 - 29 years,Number,11
Births,2017,Kilrush Town,30 - 34 years,Number,10
Births,2017,Kilrush Town,35 - 39 years,Number,14
Births,2017,Kilrush Town,40 - 44 years,Number,2
Births,2017,Kilrush Town,45 years and over,Number,
Births,2017,Kilrush Town,Age not stated,Number,
Births,2017,Kilrush Town,All ages,Number,47
Births,2017,Shannon,Under 20 years,Number,2
Births,2017,Shannon,20 - 24 years,Number,14
Births,2017,Shannon,25 - 29 years,Number,32
Births,2017,Shannon,30 - 34 years,Number,29
Births,2017,Shannon,35 - 39 years,Number,23
Births,2017,Shannon,40 - 44 years,Number,3
Births,2017,Shannon,45 years and over,Number,1
Births,2017,Shannon,Age not stated,Number,
Births,2017,Shannon,All ages,Number,104
Births,2017,Kilkee,Under 20 years,Number,
Births,2017,Kilkee,20 - 24 years,Number,8
Births,2017,Kilkee,25 - 29 years,Number,1
Births,2017,Kilkee,30 - 34 years,Number,7
Births,2017,Kilkee,35 - 39 years,Number,3
Births,2017,Kilkee,40 - 44 years,Number,2
Births,2017,Kilkee,45 years and over,Number,
Births,2017,Kilkee,Age not stated,Number,
Births,2017,Kilkee,All ages,Number,21
Births,2017,Rest of Co. Clare,Under 20 years,Number,4
Births,2017,Rest of Co. Clare,20 - 24 years,Number,58
Births,2017,Rest of Co. Clare,25 - 29 years,Number,129
Births,2017,Rest of Co. Clare,30 - 34 years,Number,342
Births,2017,Rest of Co. Clare,35 - 39 years,Number,337
Births,2017,Rest of Co. Clare,40 - 44 years,Number,67
Births,2017,Rest of Co. Clare,45 years and over,Number,5
Births,2017,Rest of Co. Clare,Age not stated,Number,
Births,2017,Rest of Co. Clare,All ages,Number,942
Births,2017,Cork City,Under 20 years,Number,39
Births,2017,Cork City,20 - 24 years,Number,154
Births,2017,Cork City,25 - 29 years,Number,269
Births,2017,Cork City,30 - 34 years,Number,441
Births,2017,Cork City,35 - 39 years,Number,362
Births,2017,Cork City,40 - 44 years,Number,87
Births,2017,Cork City,45 years and over,Number,6
Births,2017,Cork City,Age not stated,Number,
Births,2017,Cork City,All ages,Number,1358
Births,2017,Cork County,Under 20 years,Number,45
Births,2017,Cork County,20 - 24 years,Number,293
Births,2017,Cork County,25 - 29 years,Number,766
Births,2017,Cork County,30 - 34 years,Number,2085
Births,2017,Cork County,35 - 39 years,Number,1903
Births,2017,Cork County,40 - 44 years,Number,361
Births,2017,Cork County,45 years and over,Number,25
Births,2017,Cork County,Age not stated,Number,
Births,2017,Cork County,All ages,Number,5478
Births,2017,Cobh Town,Under 20 years,Number,3
Births,2017,Cobh Town,20 - 24 years,Number,14
Births,2017,Cobh Town,25 - 29 years,Number,23
Births,2017,Cobh Town,30 - 34 years,Number,18
Births,2017,Cobh Town,35 - 39 years,Number,17
Births,2017,Cobh Town,40 - 44 years,Number,3
Births,2017,Cobh Town,45 years and over,Number,
Births,2017,Cobh Town,Age not stated,Number,
Births,2017,Cobh Town,All ages,Number,78
Births,2017,Fermoy Town,Under 20 years,Number,
Births,2017,Fermoy Town,20 - 24 years,Number,2
Births,2017,Fermoy Town,25 - 29 years,Number,7
Births,2017,Fermoy Town,30 - 34 years,Number,10
Births,2017,Fermoy Town,35 - 39 years,Number,8
Births,2017,Fermoy Town,40 - 44 years,Number,3
Births,2017,Fermoy Town,45 years and over,Number,
Births,2017,Fermoy Town,Age not stated,Number,
Births,2017,Fermoy Town,All ages,Number,30
Births,2017,Kinsale Town,Under 20 years,Number,
Births,2017,Kinsale Town,20 - 24 years,Number,2
Births,2017,Kinsale Town,25 - 29 years,Number,3
Births,2017,Kinsale Town,30 - 34 years,Number,12
Births,2017,Kinsale Town,35 - 39 years,Number,10
Births,2017,Kinsale Town,40 - 44 years,Number,3
Births,2017,Kinsale Town,45 years and over,Number,
Births,2017,Kinsale Town,Age not stated,Number,
Births,2017,Kinsale Town,All ages,Number,30
Births,2017,Midleton Town,Under 20 years,Number,3
Births,2017,Midleton Town,20 - 24 years,Number,6
Births,2017,Midleton Town,25 - 29 years,Number,16
Births,2017,Midleton Town,30 - 34 years,Number,24
Births,2017,Midleton Town,35 - 39 years,Number,13
Births,2017,Midleton Town,40 - 44 years,Number,2
Births,2017,Midleton Town,45 years and over,Number,
Births,2017,Midleton Town,Age not stated,Number,
Births,2017,Midleton Town,All ages,Number,64
Births,2017,Youghal Town,Under 20 years,Number,3
Births,2017,Youghal Town,20 - 24 years,Number,8
Births,2017,Youghal Town,25 - 29 years,Number,20
Births,2017,Youghal Town,30 - 34 years,Number,28
Births,2017,Youghal Town,35 - 39 years,Number,19
Births,2017,Youghal Town,40 - 44 years,Number,10
Births,2017,Youghal Town,45 years and over,Number,
Births,2017,Youghal Town,Age not stated,Number,
Births,2017,Youghal Town,All ages,Number,88
Births,2017,Clonakilty Town,Under 20 years,Number,1
Births,2017,Clonakilty Town,20 - 24 years,Number,6
Births,2017,Clonakilty Town,25 - 29 years,Number,15
Births,2017,Clonakilty Town,30 - 34 years,Number,22
Births,2017,Clonakilty Town,35 - 39 years,Number,31
Births,2017,Clonakilty Town,40 - 44 years,Number,4
Births,2017,Clonakilty Town,45 years and over,Number,
Births,2017,Clonakilty Town,Age not stated,Number,
Births,2017,Clonakilty Town,All ages,Number,79
Births,2017,Skibbereen Town,Under 20 years,Number,1
Births,2017,Skibbereen Town,20 - 24 years,Number,4
Births,2017,Skibbereen Town,25 - 29 years,Number,11
Births,2017,Skibbereen Town,30 - 34 years,Number,14
Births,2017,Skibbereen Town,35 - 39 years,Number,10
Births,2017,Skibbereen Town,40 - 44 years,Number,3
Births,2017,Skibbereen Town,45 years and over,Number,
Births,2017,Skibbereen Town,Age not stated,Number,
Births,2017,Skibbereen Town,All ages,Number,43
Births,2017,Macroom Town,Under 20 years,Number,
Births,2017,Macroom Town,20 - 24 years,Number,3
Births,2017,Macroom Town,25 - 29 years,Number,12
Births,2017,Macroom Town,30 - 34 years,Number,33
Births,2017,Macroom Town,35 - 39 years,Number,21
Births,2017,Macroom Town,40 - 44 years,Number,8
Births,2017,Macroom Town,45 years and over,Number,
Births,2017,Macroom Town,Age not stated,Number,
Births,2017,Macroom Town,All ages,Number,77
Births,2017,Mallow Town,Under 20 years,Number,
Births,2017,Mallow Town,20 - 24 years,Number,10
Births,2017,Mallow Town,25 - 29 years,Number,24
Births,2017,Mallow Town,30 - 34 years,Number,47
Births,2017,Mallow Town,35 - 39 years,Number,36
Births,2017,Mallow Town,40 - 44 years,Number,5
Births,2017,Mallow Town,45 years and over,Number,
Births,2017,Mallow Town,Age not stated,Number,
Births,2017,Mallow Town,All ages,Number,122
Births,2017,Rest of Co. Cork,Under 20 years,Number,33
Births,2017,Rest of Co. Cork,20 - 24 years,Number,223
Births,2017,Rest of Co. Cork,25 - 29 years,Number,614
Births,2017,Rest of Co. Cork,30 - 34 years,Number,1822
Births,2017,Rest of Co. Cork,35 - 39 years,Number,1692
Births,2017,Rest of Co. Cork,40 - 44 years,Number,317
Births,2017,Rest of Co. Cork,45 years and over,Number,24
Births,2017,Rest of Co. Cork,Age not stated,Number,
Births,2017,Rest of Co. Cork,All ages,Number,4725
Births,2017,Passage West,Under 20 years,Number,1
Births,2017,Passage West,20 - 24 years,Number,3
Births,2017,Passage West,25 - 29 years,Number,6
Births,2017,Passage West,30 - 34 years,Number,27
Births,2017,Passage West,35 - 39 years,Number,26
Births,2017,Passage West,40 - 44 years,Number,
Births,2017,Passage West,45 years and over,Number,
Births,2017,Passage West,Age not stated,Number,
Births,2017,Passage West,All ages,Number,63
Births,2017,Bandon,Under 20 years,Number,
Births,2017,Bandon,20 - 24 years,Number,8
Births,2017,Bandon,25 - 29 years,Number,8
Births,2017,Bandon,30 - 34 years,Number,11
Births,2017,Bandon,35 - 39 years,Number,8
Births,2017,Bandon,40 - 44 years,Number,2
Births,2017,Bandon,45 years and over,Number,
Births,2017,Bandon,Age not stated,Number,
Births,2017,Bandon,All ages,Number,37
Births,2017,Bantry,Under 20 years,Number,
Births,2017,Bantry,20 - 24 years,Number,4
Births,2017,Bantry,25 - 29 years,Number,7
Births,2017,Bantry,30 - 34 years,Number,17
Births,2017,Bantry,35 - 39 years,Number,12
Births,2017,Bantry,40 - 44 years,Number,1
Births,2017,Bantry,45 years and over,Number,1
Births,2017,Bantry,Age not stated,Number,
Births,2017,Bantry,All ages,Number,42
Births,2017,Kerry,Under 20 years,Number,18
Births,2017,Kerry,20 - 24 years,Number,140
Births,2017,Kerry,25 - 29 years,Number,268
Births,2017,Kerry,30 - 34 years,Number,603
Births,2017,Kerry,35 - 39 years,Number,484
Births,2017,Kerry,40 - 44 years,Number,121
Births,2017,Kerry,45 years and over,Number,7
Births,2017,Kerry,Age not stated,Number,
Births,2017,Kerry,All ages,Number,1641
Births,2017,Killarney Town,Under 20 years,Number,5
Births,2017,Killarney Town,20 - 24 years,Number,20
Births,2017,Killarney Town,25 - 29 years,Number,33
Births,2017,Killarney Town,30 - 34 years,Number,53
Births,2017,Killarney Town,35 - 39 years,Number,40
Births,2017,Killarney Town,40 - 44 years,Number,13
Births,2017,Killarney Town,45 years and over,Number,1
Births,2017,Killarney Town,Age not stated,Number,
Births,2017,Killarney Town,All ages,Number,165
Births,2017,Listowel Town,Under 20 years,Number,
Births,2017,Listowel Town,20 - 24 years,Number,8
Births,2017,Listowel Town,25 - 29 years,Number,19
Births,2017,Listowel Town,30 - 34 years,Number,12
Births,2017,Listowel Town,35 - 39 years,Number,12
Births,2017,Listowel Town,40 - 44 years,Number,2
Births,2017,Listowel Town,45 years and over,Number,
Births,2017,Listowel Town,Age not stated,Number,
Births,2017,Listowel Town,All ages,Number,53
Births,2017,Tralee Town,Under 20 years,Number,3
Births,2017,Tralee Town,20 - 24 years,Number,44
Births,2017,Tralee Town,25 - 29 years,Number,60
Births,2017,Tralee Town,30 - 34 years,Number,110
Births,2017,Tralee Town,35 - 39 years,Number,71
Births,2017,Tralee Town,40 - 44 years,Number,11
Births,2017,Tralee Town,45 years and over,Number,
Births,2017,Tralee Town,Age not stated,Number,
Births,2017,Tralee Town,All ages,Number,299
Births,2017,Rest of Co. Kerry,Under 20 years,Number,10
Births,2017,Rest of Co. Kerry,20 - 24 years,Number,68
Births,2017,Rest of Co. Kerry,25 - 29 years,Number,156
Births,2017,Rest of Co. Kerry,30 - 34 years,Number,428
Births,2017,Rest of Co. Kerry,35 - 39 years,Number,361
Births,2017,Rest of Co. Kerry,40 - 44 years,Number,95
Births,2017,Rest of Co. Kerry,45 years and over,Number,6
Births,2017,Rest of Co. Kerry,Age not stated,Number,
Births,2017,Rest of Co. Kerry,All ages,Number,1124
Births,2017,Limerick City,Under 20 years,Number,36
Births,2017,Limerick City,20 - 24 years,Number,124
Births,2017,Limerick City,25 - 29 years,Number,180
Births,2017,Limerick City,30 - 34 years,Number,252
Births,2017,Limerick City,35 - 39 years,Number,159
Births,2017,Limerick City,40 - 44 years,Number,28
Births,2017,Limerick City,45 years and over,Number,1
Births,2017,Limerick City,Age not stated,Number,
Births,2017,Limerick City,All ages,Number,780
Births,2017,Limerick County,Under 20 years,Number,22
Births,2017,Limerick County,20 - 24 years,Number,124
Births,2017,Limerick County,25 - 29 years,Number,313
Births,2017,Limerick County,30 - 34 years,Number,662
Births,2017,Limerick County,35 - 39 years,Number,553
Births,2017,Limerick County,40 - 44 years,Number,108
Births,2017,Limerick County,45 years and over,Number,6
Births,2017,Limerick County,Age not stated,Number,
Births,2017,Limerick County,All ages,Number,1788
Births,2017,North Tipperary,Under 20 years,Number,22
Births,2017,North Tipperary,20 - 24 years,Number,80
Births,2017,North Tipperary,25 - 29 years,Number,143
Births,2017,North Tipperary,30 - 34 years,Number,318
Births,2017,North Tipperary,35 - 39 years,Number,290
Births,2017,North Tipperary,40 - 44 years,Number,60
Births,2017,North Tipperary,45 years and over,Number,4
Births,2017,North Tipperary,Age not stated,Number,
Births,2017,North Tipperary,All ages,Number,917
Births,2017,Nenagh Town,Under 20 years,Number,3
Births,2017,Nenagh Town,20 - 24 years,Number,12
Births,2017,Nenagh Town,25 - 29 years,Number,26
Births,2017,Nenagh Town,30 - 34 years,Number,52
Births,2017,Nenagh Town,35 - 39 years,Number,53
Births,2017,Nenagh Town,40 - 44 years,Number,6
Births,2017,Nenagh Town,45 years and over,Number,
Births,2017,Nenagh Town,Age not stated,Number,
Births,2017,Nenagh Town,All ages,Number,152
Births,2017,Templemore Town,Under 20 years,Number,1
Births,2017,Templemore Town,20 - 24 years,Number,5
Births,2017,Templemore Town,25 - 29 years,Number,8
Births,2017,Templemore Town,30 - 34 years,Number,12
Births,2017,Templemore Town,35 - 39 years,Number,12
Births,2017,Templemore Town,40 - 44 years,Number,3
Births,2017,Templemore Town,45 years and over,Number,
Births,2017,Templemore Town,Age not stated,Number,
Births,2017,Templemore Town,All ages,Number,41
Births,2017,Thurles Town,Under 20 years,Number,8
Births,2017,Thurles Town,20 - 24 years,Number,13
Births,2017,Thurles Town,25 - 29 years,Number,9
Births,2017,Thurles Town,30 - 34 years,Number,24
Births,2017,Thurles Town,35 - 39 years,Number,15
Births,2017,Thurles Town,40 - 44 years,Number,4
Births,2017,Thurles Town,45 years and over,Number,
Births,2017,Thurles Town,Age not stated,Number,
Births,2017,Thurles Town,All ages,Number,73
Births,2017,Rest of North Tipperary,Under 20 years,Number,10
Births,2017,Rest of North Tipperary,20 - 24 years,Number,50
Births,2017,Rest of North Tipperary,25 - 29 years,Number,100
Births,2017,Rest of North Tipperary,30 - 34 years,Number,230
Births,2017,Rest of North Tipperary,35 - 39 years,Number,210
Births,2017,Rest of North Tipperary,40 - 44 years,Number,47
Births,2017,Rest of North Tipperary,45 years and over,Number,4
Births,2017,Rest of North Tipperary,Age not stated,Number,
Births,2017,Rest of North Tipperary,All ages,Number,651
Births,2017,South Tipperary,Under 20 years,Number,21
Births,2017,South Tipperary,20 - 24 years,Number,133
Births,2017,South Tipperary,25 - 29 years,Number,245
Births,2017,South Tipperary,30 - 34 years,Number,358
Births,2017,South Tipperary,35 - 39 years,Number,291
Births,2017,South Tipperary,40 - 44 years,Number,41
Births,2017,South Tipperary,45 years and over,Number,8
Births,2017,South Tipperary,Age not stated,Number,
Births,2017,South Tipperary,All ages,Number,1097
Births,2017,Carrick-on-Suir Town,Under 20 years,Number,
Births,2017,Carrick-on-Suir Town,20 - 24 years,Number,8
Births,2017,Carrick-on-Suir Town,25 - 29 years,Number,21
Births,2017,Carrick-on-Suir Town,30 - 34 years,Number,14
Births,2017,Carrick-on-Suir Town,35 - 39 years,Number,16
Births,2017,Carrick-on-Suir Town,40 - 44 years,Number,4
Births,2017,Carrick-on-Suir Town,45 years and over,Number,1
Births,2017,Carrick-on-Suir Town,Age not stated,Number,
Births,2017,Carrick-on-Suir Town,All ages,Number,64
Births,2017,Cashel Town,Under 20 years,Number,2
Births,2017,Cashel Town,20 - 24 years,Number,9
Births,2017,Cashel Town,25 - 29 years,Number,18
Births,2017,Cashel Town,30 - 34 years,Number,10
Births,2017,Cashel Town,35 - 39 years,Number,6
Births,2017,Cashel Town,40 - 44 years,Number,5
Births,2017,Cashel Town,45 years and over,Number,
Births,2017,Cashel Town,Age not stated,Number,
Births,2017,Cashel Town,All ages,Number,50
Births,2017,Clonmel Borough,Under 20 years,Number,8
Births,2017,Clonmel Borough,20 - 24 years,Number,33
Births,2017,Clonmel Borough,25 - 29 years,Number,44
Births,2017,Clonmel Borough,30 - 34 years,Number,88
Births,2017,Clonmel Borough,35 - 39 years,Number,70
Births,2017,Clonmel Borough,40 - 44 years,Number,5
Births,2017,Clonmel Borough,45 years and over,Number,
Births,2017,Clonmel Borough,Age not stated,Number,
Births,2017,Clonmel Borough,All ages,Number,248
Births,2017,Tipperary Town,Under 20 years,Number,1
Births,2017,Tipperary Town,20 - 24 years,Number,15
Births,2017,Tipperary Town,25 - 29 years,Number,20
Births,2017,Tipperary Town,30 - 34 years,Number,19
Births,2017,Tipperary Town,35 - 39 years,Number,11
Births,2017,Tipperary Town,40 - 44 years,Number,
Births,2017,Tipperary Town,45 years and over,Number,1
Births,2017,Tipperary Town,Age not stated,Number,
Births,2017,Tipperary Town,All ages,Number,67
Births,2017,Tipperary,Under 20 years,Number,
Births,2017,Tipperary,20 - 24 years,Number,
Births,2017,Tipperary,25 - 29 years,Number,
Births,2017,Tipperary,30 - 34 years,Number,
Births,2017,Tipperary,35 - 39 years,Number,
Births,2017,Tipperary,40 - 44 years,Number,
Births,2017,Tipperary,45 years and over,Number,
Births,2017,Tipperary,Age not stated,Number,
Births,2017,Tipperary,All ages,Number,
Births,2017,Rest of Co Tipperary,Under 20 years,Number,
Births,2017,Rest of Co Tipperary,20 - 24 years,Number,
Births,2017,Rest of Co Tipperary,25 - 29 years,Number,
Births,2017,Rest of Co Tipperary,30 - 34 years,Number,
Births,2017,Rest of Co Tipperary,35 - 39 years,Number,
Births,2017,Rest of Co Tipperary,40 - 44 years,Number,
Births,2017,Rest of Co Tipperary,45 years and over,Number,
