Statistic,Year,Area of Residence,Age Group of Mother,UNIT,VALUE
Births,2008,Meath,30 - 34 years,Number,1321
Births,2008,Meath,35 - 39 years,Number,864
Births,2008,Meath,40 - 44 years,Number,155
Births,2008,Meath,45 years and over,Number,3
Births,2008,Meath,Age not stated,Number,2
Births,2008,Meath,All ages,Number,3599
Births,2008,Kells Town,Under 20 years,Number,2
Births,2008,Kells Town,20 - 24 years,Number,20
Births,2008,Kells Town,25 - 29 years,Number,43
Births,2008,Kells Town,30 - 34 years,Number,59
Births,2008,Kells Town,35 - 39 years,Number,35
Births,2008,Kells Town,40 - 44 years,Number,8
Births,2008,Kells Town,45 years and over,Number,2
Births,2008,Kells Town,Age not stated,Number,
Births,2008,Kells Town,All ages,Number,169
Births,2008,Navan Town,Under 20 years,Number,16
Births,2008,Navan Town,20 - 24 years,Number,67
Births,2008,Navan Town,25 - 29 years,Number,121
Births,2008,Navan Town,30 - 34 years,Number,163
Births,2008,Navan Town,35 - 39 years,Number,90
Births,2008,Navan Town,40 - 44 years,Number,22
Births,2008,Navan Town,45 years and over,Number,
Births,2008,Navan Town,Age not stated,Number,
Births,2008,Navan Town,All ages,Number,479
Births,2008,Trim Town,Under 20 years,Number,3
Births,2008,Trim Town,20 - 24 years,Number,23
Births,2008,Trim Town,25 - 29 years,Number,43
Births,2008,Trim Town,30 - 34 years,Number,56
Births,2008,Trim Town,35 - 39 years,Number,33
Births,2008,Trim Town,40 - 44 years,Number,16
Births,2008,Trim Town,45 years and over,Number,
Births,2008,Trim Town,Age not stated,Number,
Births,2008,Trim Town,All ages,Number,174
Births,2008,Rest of Co. Meath,Under 20 years,Number,37
Births,2008,Rest of Co. Meath,20 - 24 years,Number,216
Births,2008,Rest of Co. Meath,25 - 29 years,Number,663
Births,2008,Rest of Co. Meath,30 - 34 years,Number,1043
Births,2008,Rest of Co. Meath,35 - 39 years,Number,706
Births,2008,Rest of Co. Meath,40 - 44 years,Number,109
Births,2008,Rest of Co. Meath,45 years and over,Number,1
Births,2008,Rest of Co. Meath,Age not stated,Number,2
Births,2008,Rest of Co. Meath,All ages,Number,2777
Births,2008,Offaly,Under 20 years,Number,35
Births,2008,Offaly,20 - 24 years,Number,194
Births,2008,Offaly,25 - 29 years,Number,344
Births,2008,Offaly,30 - 34 years,Number,370
Births,2008,Offaly,35 - 39 years,Number,275
Births,2008,Offaly,40 - 44 years,Number,41
Births,2008,Offaly,45 years and over,Number,3
Births,2008,Offaly,Age not stated,Number,
Births,2008,Offaly,All ages,Number,1262
Births,2008,Birr Town,Under 20 years,Number,5
Births,2008,Birr Town,20 - 24 years,Number,20
Births,2008,Birr Town,25 - 29 years,Number,27
Births,2008,Birr Town,30 - 34 years,Number,24
Births,2008,Birr Town,35 - 39 years,Number,19
Births,2008,Birr Town,40 - 44 years,Number,1
Births,2008,Birr Town,45 years and over,Number,
Births,2008,Birr Town,Age not stated,Number,
Births,2008,Birr Town,All ages,Number,96
Births,2008,Tullamore Town,Under 20 years,Number,8
Births,2008,Tullamore Town,20 - 24 years,Number,50
Births,2008,Tullamore Town,25 - 29 years,Number,81
Births,2008,Tullamore Town,30 - 34 years,Number,81
Births,2008,Tullamore Town,35 - 39 years,Number,68
Births,2008,Tullamore Town,40 - 44 years,Number,10
Births,2008,Tullamore Town,45 years and over,Number,
Births,2008,Tullamore Town,Age not stated,Number,
Births,2008,Tullamore Town,All ages,Number,298
Births,2008,Edenderry,Under 20 years,Number,
Births,2008,Edenderry,20 - 24 years,Number,
Births,2008,Edenderry,25 - 29 years,Number,
Births,2008,Edenderry,30 - 34 years,Number,
Births,2008,Edenderry,35 - 39 years,Number,
Births,2008,Edenderry,40 - 44 years,Number,
Births,2008,Edenderry,45 years and over,Number,
Births,2008,Edenderry,Age not stated,Number,
Births,2008,Edenderry,All ages,Number,
Births,2008,Rest of Co. Offaly,Under 20 years,Number,22
Births,2008,Rest of Co. Offaly,20 - 24 years,Number,124
Births,2008,Rest of Co. Offaly,25 - 29 years,Number,236
Births,2008,Rest of Co. Offaly,30 - 34 years,Number,265
Births,2008,Rest of Co. Offaly,35 - 39 years,Number,188
Births,2008,Rest of Co. Offaly,40 - 44 years,Number,30
Births,2008,Rest of Co. Offaly,45 years and over,Number,3
Births,2008,Rest of Co. Offaly,Age not stated,Number,
Births,2008,Rest of Co. Offaly,All ages,Number,868
Births,2008,Westmeath,Under 20 years,Number,52
Births,2008,Westmeath,20 - 24 years,Number,200
Births,2008,Westmeath,25 - 29 years,Number,379
Births,2008,Westmeath,30 - 34 years,Number,475
Births,2008,Westmeath,35 - 39 years,Number,314
Births,2008,Westmeath,40 - 44 years,Number,63
Births,2008,Westmeath,45 years and over,Number,2
Births,2008,Westmeath,Age not stated,Number,2
Births,2008,Westmeath,All ages,Number,1487
Births,2008,Athlone Town,Under 20 years,Number,11
Births,2008,Athlone Town,20 - 24 years,Number,53
Births,2008,Athlone Town,25 - 29 years,Number,56
Births,2008,Athlone Town,30 - 34 years,Number,51
Births,2008,Athlone Town,35 - 39 years,Number,26
Births,2008,Athlone Town,40 - 44 years,Number,6
Births,2008,Athlone Town,45 years and over,Number,
Births,2008,Athlone Town,Age not stated,Number,
Births,2008,Athlone Town,All ages,Number,203
Births,2008,Mullingar,Under 20 years,Number,
Births,2008,Mullingar,20 - 24 years,Number,
Births,2008,Mullingar,25 - 29 years,Number,
Births,2008,Mullingar,30 - 34 years,Number,
Births,2008,Mullingar,35 - 39 years,Number,
Births,2008,Mullingar,40 - 44 years,Number,
Births,2008,Mullingar,45 years and over,Number,
Births,2008,Mullingar,Age not stated,Number,
Births,2008,Mullingar,All ages,Number,
Births,2008,Rest of Co. Westmeath,Under 20 years,Number,41
Births,2008,Rest of Co. Westmeath,20 - 24 years,Number,147
Births,2008,Rest of Co. Westmeath,25 - 29 years,Number,323
Births,2008,Rest of Co. Westmeath,30 - 34 years,Number,424
Births,2008,Rest of Co. Westmeath,35 - 39 years,Number,288
Births,2008,Rest of Co. Westmeath,40 - 44 years,Number,57
Births,2008,Rest of Co. Westmeath,45 years and over,Number,2
Births,2008,Rest of Co. Westmeath,Age not stated,Number,2
Births,2008,Rest of Co. Westmeath,All ages,Number,1284
Births,2008,Wexford,Under 20 years,Number,104
Births,2008,Wexford,20 - 24 years,Number,405
Births,2008,Wexford,25 - 29 years,Number,630
Births,2008,Wexford,30 - 34 years,Number,776
Births,2008,Wexford,35 - 39 years,Number,505
Births,2008,Wexford,40 - 44 years,Number,101
Births,2008,Wexford,45 years and over,Number,7
Births,2008,Wexford,Age not stated,Number,
Births,2008,Wexford,All ages,Number,2528
Births,2008,Enniscorthy Town,Under 20 years,Number,12
Births,2008,Enniscorthy Town,20 - 24 years,Number,30
Births,2008,Enniscorthy Town,25 - 29 years,Number,55
Births,2008,Enniscorthy Town,30 - 34 years,Number,73
Births,2008,Enniscorthy Town,35 - 39 years,Number,30
Births,2008,Enniscorthy Town,40 - 44 years,Number,8
Births,2008,Enniscorthy Town,45 years and over,Number,1
Births,2008,Enniscorthy Town,Age not stated,Number,
Births,2008,Enniscorthy Town,All ages,Number,209
Births,2008,New Ross Town,Under 20 years,Number,15
Births,2008,New Ross Town,20 - 24 years,Number,56
Births,2008,New Ross Town,25 - 29 years,Number,71
Births,2008,New Ross Town,30 - 34 years,Number,80
Births,2008,New Ross Town,35 - 39 years,Number,57
Births,2008,New Ross Town,40 - 44 years,Number,8
Births,2008,New Ross Town,45 years and over,Number,
Births,2008,New Ross Town,Age not stated,Number,
Births,2008,New Ross Town,All ages,Number,287
Births,2008,Wexford Borough,Under 20 years,Number,9
Births,2008,Wexford Borough,20 - 24 years,Number,37
