Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Births Outside Marriage/Civil Partnership,2017,30 - 34 years,9,Number,1
Births Outside Marriage/Civil Partnership,2017,30 - 34 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2017,30 - 34 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,Previous liveborn children,Number,4211
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,0,Number,1561
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,1,Number,1398
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,2,Number,726
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,3,Number,316
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,4,Number,116
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,5,Number,55
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,6,Number,26
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,7,Number,7
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,8,Number,2
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,9,Number,4
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2017,35 - 39 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,Previous liveborn children,Number,1143
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,0,Number,421
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,1,Number,362
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,2,Number,201
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,3,Number,84
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,4,Number,37
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,5,Number,16
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,6,Number,9
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,7,Number,10
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,8,Number,1
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,9,Number,1
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,10 or more,Number,1
Births Outside Marriage/Civil Partnership,2017,40 - 44 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2017,45 years and over,Previous liveborn children,Number,104
Births Outside Marriage/Civil Partnership,2017,45 years and over,0,Number,57
Births Outside Marriage/Civil Partnership,2017,45 years and over,1,Number,20
Births Outside Marriage/Civil Partnership,2017,45 years and over,2,Number,17
Births Outside Marriage/Civil Partnership,2017,45 years and over,3,Number,6
Births Outside Marriage/Civil Partnership,2017,45 years and over,4,Number,3
Births Outside Marriage/Civil Partnership,2017,45 years and over,5,Number,1
Births Outside Marriage/Civil Partnership,2017,45 years and over,6,Number,
Births Outside Marriage/Civil Partnership,2017,45 years and over,7,Number,
Births Outside Marriage/Civil Partnership,2017,45 years and over,8,Number,
Births Outside Marriage/Civil Partnership,2017,45 years and over,9,Number,
Births Outside Marriage/Civil Partnership,2017,45 years and over,10 or more,Number,
Births Outside Marriage/Civil Partnership,2017,45 years and over,Not stated,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,Previous liveborn children,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,0,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,1,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,2,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,3,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,4,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,5,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,6,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,7,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,8,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,9,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,10 or more,Number,
Births Outside Marriage/Civil Partnership,2017,Age not stated,Not stated,Number,
Births Outside Marriage/Civil Partnership,2017,All ages,Previous liveborn children,Number,23236
Births Outside Marriage/Civil Partnership,2017,All ages,0,Number,10959
Births Outside Marriage/Civil Partnership,2017,All ages,1,Number,7420
Births Outside Marriage/Civil Partnership,2017,All ages,2,Number,3107
Births Outside Marriage/Civil Partnership,2017,All ages,3,Number,1084
Births Outside Marriage/Civil Partnership,2017,All ages,4,Number,387
Births Outside Marriage/Civil Partnership,2017,All ages,5,Number,174
Births Outside Marriage/Civil Partnership,2017,All ages,6,Number,62
Births Outside Marriage/Civil Partnership,2017,All ages,7,Number,30
Births Outside Marriage/Civil Partnership,2017,All ages,8,Number,6
Births Outside Marriage/Civil Partnership,2017,All ages,9,Number,6
Births Outside Marriage/Civil Partnership,2017,All ages,10 or more,Number,1
Births Outside Marriage/Civil Partnership,2017,All ages,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,16 years,Previous liveborn children,Number,56
Births Outside Marriage/Civil Partnership,2018,16 years,0,Number,54
Births Outside Marriage/Civil Partnership,2018,16 years,1,Number,2
Births Outside Marriage/Civil Partnership,2018,16 years,2,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,3,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,4,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,16 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,17 years,Previous liveborn children,Number,119
Births Outside Marriage/Civil Partnership,2018,17 years,0,Number,117
Births Outside Marriage/Civil Partnership,2018,17 years,1,Number,2
Births Outside Marriage/Civil Partnership,2018,17 years,2,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,3,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,4,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,17 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,18 years,Previous liveborn children,Number,208
Births Outside Marriage/Civil Partnership,2018,18 years,0,Number,183
Births Outside Marriage/Civil Partnership,2018,18 years,1,Number,24
Births Outside Marriage/Civil Partnership,2018,18 years,2,Number,1
Births Outside Marriage/Civil Partnership,2018,18 years,3,Number,0
Births Outside Marriage/Civil Partnership,2018,18 years,4,Number,0
Births Outside Marriage/Civil Partnership,2018,18 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,18 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,18 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,18 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,18 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,18 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,18 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,19 years,Previous liveborn children,Number,416
Births Outside Marriage/Civil Partnership,2018,19 years,0,Number,357
Births Outside Marriage/Civil Partnership,2018,19 years,1,Number,51
Births Outside Marriage/Civil Partnership,2018,19 years,2,Number,6
Births Outside Marriage/Civil Partnership,2018,19 years,3,Number,2
Births Outside Marriage/Civil Partnership,2018,19 years,4,Number,0
Births Outside Marriage/Civil Partnership,2018,19 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,19 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,19 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,19 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,19 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,19 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,19 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,20 years,Previous liveborn children,Number,590
Births Outside Marriage/Civil Partnership,2018,20 years,0,Number,484
Births Outside Marriage/Civil Partnership,2018,20 years,1,Number,92
Births Outside Marriage/Civil Partnership,2018,20 years,2,Number,13
Births Outside Marriage/Civil Partnership,2018,20 years,3,Number,1
Births Outside Marriage/Civil Partnership,2018,20 years,4,Number,0
Births Outside Marriage/Civil Partnership,2018,20 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,20 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,20 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,20 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,20 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,20 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,20 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,21 years,Previous liveborn children,Number,720
Births Outside Marriage/Civil Partnership,2018,21 years,0,Number,513
Births Outside Marriage/Civil Partnership,2018,21 years,1,Number,166
Births Outside Marriage/Civil Partnership,2018,21 years,2,Number,33
Births Outside Marriage/Civil Partnership,2018,21 years,3,Number,8
Births Outside Marriage/Civil Partnership,2018,21 years,4,Number,0
Births Outside Marriage/Civil Partnership,2018,21 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,21 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,21 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,21 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,21 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,21 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,21 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,22 years,Previous liveborn children,Number,837
Births Outside Marriage/Civil Partnership,2018,22 years,0,Number,551
Births Outside Marriage/Civil Partnership,2018,22 years,1,Number,225
Births Outside Marriage/Civil Partnership,2018,22 years,2,Number,51
Births Outside Marriage/Civil Partnership,2018,22 years,3,Number,9
Births Outside Marriage/Civil Partnership,2018,22 years,4,Number,1
Births Outside Marriage/Civil Partnership,2018,22 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,22 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,22 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,22 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,22 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,22 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,22 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,23 years,Previous liveborn children,Number,933
Births Outside Marriage/Civil Partnership,2018,23 years,0,Number,532
Births Outside Marriage/Civil Partnership,2018,23 years,1,Number,313
Births Outside Marriage/Civil Partnership,2018,23 years,2,Number,58
Births Outside Marriage/Civil Partnership,2018,23 years,3,Number,24
Births Outside Marriage/Civil Partnership,2018,23 years,4,Number,5
Births Outside Marriage/Civil Partnership,2018,23 years,5,Number,1
Births Outside Marriage/Civil Partnership,2018,23 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,23 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,23 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,23 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,23 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,23 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,24 years,Previous liveborn children,Number,1011
Births Outside Marriage/Civil Partnership,2018,24 years,0,Number,536
Births Outside Marriage/Civil Partnership,2018,24 years,1,Number,330
Births Outside Marriage/Civil Partnership,2018,24 years,2,Number,111
Births Outside Marriage/Civil Partnership,2018,24 years,3,Number,28
Births Outside Marriage/Civil Partnership,2018,24 years,4,Number,5
Births Outside Marriage/Civil Partnership,2018,24 years,5,Number,1
Births Outside Marriage/Civil Partnership,2018,24 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,24 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,24 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,24 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,24 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,24 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,25 years,Previous liveborn children,Number,1091
Births Outside Marriage/Civil Partnership,2018,25 years,0,Number,590
Births Outside Marriage/Civil Partnership,2018,25 years,1,Number,330
Births Outside Marriage/Civil Partnership,2018,25 years,2,Number,126
Births Outside Marriage/Civil Partnership,2018,25 years,3,Number,36
Births Outside Marriage/Civil Partnership,2018,25 years,4,Number,9
Births Outside Marriage/Civil Partnership,2018,25 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,25 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,25 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,25 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,25 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,25 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,25 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,26 years,Previous liveborn children,Number,1224
Births Outside Marriage/Civil Partnership,2018,26 years,0,Number,614
Births Outside Marriage/Civil Partnership,2018,26 years,1,Number,416
Births Outside Marriage/Civil Partnership,2018,26 years,2,Number,135
Births Outside Marriage/Civil Partnership,2018,26 years,3,Number,40
Births Outside Marriage/Civil Partnership,2018,26 years,4,Number,11
Births Outside Marriage/Civil Partnership,2018,26 years,5,Number,5
Births Outside Marriage/Civil Partnership,2018,26 years,6,Number,1
Births Outside Marriage/Civil Partnership,2018,26 years,7,Number,2
Births Outside Marriage/Civil Partnership,2018,26 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,26 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,26 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,26 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,27 years,Previous liveborn children,Number,1331
Births Outside Marriage/Civil Partnership,2018,27 years,0,Number,585
Births Outside Marriage/Civil Partnership,2018,27 years,1,Number,470
Births Outside Marriage/Civil Partnership,2018,27 years,2,Number,185
Births Outside Marriage/Civil Partnership,2018,27 years,3,Number,64
Births Outside Marriage/Civil Partnership,2018,27 years,4,Number,17
Births Outside Marriage/Civil Partnership,2018,27 years,5,Number,8
Births Outside Marriage/Civil Partnership,2018,27 years,6,Number,2
Births Outside Marriage/Civil Partnership,2018,27 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,27 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,27 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,27 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,27 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,28 years,Previous liveborn children,Number,1335
Births Outside Marriage/Civil Partnership,2018,28 years,0,Number,612
Births Outside Marriage/Civil Partnership,2018,28 years,1,Number,438
Births Outside Marriage/Civil Partnership,2018,28 years,2,Number,193
Births Outside Marriage/Civil Partnership,2018,28 years,3,Number,65
Births Outside Marriage/Civil Partnership,2018,28 years,4,Number,15
Births Outside Marriage/Civil Partnership,2018,28 years,5,Number,8
Births Outside Marriage/Civil Partnership,2018,28 years,6,Number,3
Births Outside Marriage/Civil Partnership,2018,28 years,7,Number,1
Births Outside Marriage/Civil Partnership,2018,28 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,28 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,28 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,28 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,29 years,Previous liveborn children,Number,1357
Births Outside Marriage/Civil Partnership,2018,29 years,0,Number,591
Births Outside Marriage/Civil Partnership,2018,29 years,1,Number,444
Births Outside Marriage/Civil Partnership,2018,29 years,2,Number,208
Births Outside Marriage/Civil Partnership,2018,29 years,3,Number,72
Births Outside Marriage/Civil Partnership,2018,29 years,4,Number,31
Births Outside Marriage/Civil Partnership,2018,29 years,5,Number,10
Births Outside Marriage/Civil Partnership,2018,29 years,6,Number,1
Births Outside Marriage/Civil Partnership,2018,29 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,29 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,29 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,29 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,29 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,30 years,Previous liveborn children,Number,1351
Births Outside Marriage/Civil Partnership,2018,30 years,0,Number,557
Births Outside Marriage/Civil Partnership,2018,30 years,1,Number,471
Births Outside Marriage/Civil Partnership,2018,30 years,2,Number,222
Births Outside Marriage/Civil Partnership,2018,30 years,3,Number,63
Births Outside Marriage/Civil Partnership,2018,30 years,4,Number,24
Births Outside Marriage/Civil Partnership,2018,30 years,5,Number,7
Births Outside Marriage/Civil Partnership,2018,30 years,6,Number,5
Births Outside Marriage/Civil Partnership,2018,30 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,30 years,8,Number,1
Births Outside Marriage/Civil Partnership,2018,30 years,9,Number,1
Births Outside Marriage/Civil Partnership,2018,30 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,30 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,31 years,Previous liveborn children,Number,1348
Births Outside Marriage/Civil Partnership,2018,31 years,0,Number,558
Births Outside Marriage/Civil Partnership,2018,31 years,1,Number,451
Births Outside Marriage/Civil Partnership,2018,31 years,2,Number,234
Births Outside Marriage/Civil Partnership,2018,31 years,3,Number,72
Births Outside Marriage/Civil Partnership,2018,31 years,4,Number,12
Births Outside Marriage/Civil Partnership,2018,31 years,5,Number,16
Births Outside Marriage/Civil Partnership,2018,31 years,6,Number,2
Births Outside Marriage/Civil Partnership,2018,31 years,7,Number,2
Births Outside Marriage/Civil Partnership,2018,31 years,8,Number,1
Births Outside Marriage/Civil Partnership,2018,31 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,31 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,31 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,32 years,Previous liveborn children,Number,1300
Births Outside Marriage/Civil Partnership,2018,32 years,0,Number,519
Births Outside Marriage/Civil Partnership,2018,32 years,1,Number,446
Births Outside Marriage/Civil Partnership,2018,32 years,2,Number,217
Births Outside Marriage/Civil Partnership,2018,32 years,3,Number,75
Births Outside Marriage/Civil Partnership,2018,32 years,4,Number,27
Births Outside Marriage/Civil Partnership,2018,32 years,5,Number,9
Births Outside Marriage/Civil Partnership,2018,32 years,6,Number,6
Births Outside Marriage/Civil Partnership,2018,32 years,7,Number,1
Births Outside Marriage/Civil Partnership,2018,32 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,32 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,32 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,32 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,33 years,Previous liveborn children,Number,1222
Births Outside Marriage/Civil Partnership,2018,33 years,0,Number,486
Births Outside Marriage/Civil Partnership,2018,33 years,1,Number,402
Births Outside Marriage/Civil Partnership,2018,33 years,2,Number,198
Births Outside Marriage/Civil Partnership,2018,33 years,3,Number,84
Births Outside Marriage/Civil Partnership,2018,33 years,4,Number,34
Births Outside Marriage/Civil Partnership,2018,33 years,5,Number,10
Births Outside Marriage/Civil Partnership,2018,33 years,6,Number,5
Births Outside Marriage/Civil Partnership,2018,33 years,7,Number,2
Births Outside Marriage/Civil Partnership,2018,33 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,33 years,9,Number,1
Births Outside Marriage/Civil Partnership,2018,33 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,33 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,34 years,Previous liveborn children,Number,1101
Births Outside Marriage/Civil Partnership,2018,34 years,0,Number,413
Births Outside Marriage/Civil Partnership,2018,34 years,1,Number,398
Births Outside Marriage/Civil Partnership,2018,34 years,2,Number,173
Births Outside Marriage/Civil Partnership,2018,34 years,3,Number,61
Births Outside Marriage/Civil Partnership,2018,34 years,4,Number,41
Births Outside Marriage/Civil Partnership,2018,34 years,5,Number,3
Births Outside Marriage/Civil Partnership,2018,34 years,6,Number,8
Births Outside Marriage/Civil Partnership,2018,34 years,7,Number,3
Births Outside Marriage/Civil Partnership,2018,34 years,8,Number,1
Births Outside Marriage/Civil Partnership,2018,34 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,34 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,34 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,35 years,Previous liveborn children,Number,1050
Births Outside Marriage/Civil Partnership,2018,35 years,0,Number,409
Births Outside Marriage/Civil Partnership,2018,35 years,1,Number,367
Births Outside Marriage/Civil Partnership,2018,35 years,2,Number,160
Births Outside Marriage/Civil Partnership,2018,35 years,3,Number,72
Births Outside Marriage/Civil Partnership,2018,35 years,4,Number,19
Births Outside Marriage/Civil Partnership,2018,35 years,5,Number,13
Births Outside Marriage/Civil Partnership,2018,35 years,6,Number,7
Births Outside Marriage/Civil Partnership,2018,35 years,7,Number,1
Births Outside Marriage/Civil Partnership,2018,35 years,8,Number,2
Births Outside Marriage/Civil Partnership,2018,35 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,35 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,35 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,36 years,Previous liveborn children,Number,1014
Births Outside Marriage/Civil Partnership,2018,36 years,0,Number,366
Births Outside Marriage/Civil Partnership,2018,36 years,1,Number,363
Births Outside Marriage/Civil Partnership,2018,36 years,2,Number,165
Births Outside Marriage/Civil Partnership,2018,36 years,3,Number,68
Births Outside Marriage/Civil Partnership,2018,36 years,4,Number,31
Births Outside Marriage/Civil Partnership,2018,36 years,5,Number,11
Births Outside Marriage/Civil Partnership,2018,36 years,6,Number,6
Births Outside Marriage/Civil Partnership,2018,36 years,7,Number,3
Births Outside Marriage/Civil Partnership,2018,36 years,8,Number,1
Births Outside Marriage/Civil Partnership,2018,36 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,36 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,36 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,37 years,Previous liveborn children,Number,857
Births Outside Marriage/Civil Partnership,2018,37 years,0,Number,309
Births Outside Marriage/Civil Partnership,2018,37 years,1,Number,275
Births Outside Marriage/Civil Partnership,2018,37 years,2,Number,162
Births Outside Marriage/Civil Partnership,2018,37 years,3,Number,57
Births Outside Marriage/Civil Partnership,2018,37 years,4,Number,25
Births Outside Marriage/Civil Partnership,2018,37 years,5,Number,19
Births Outside Marriage/Civil Partnership,2018,37 years,6,Number,3
Births Outside Marriage/Civil Partnership,2018,37 years,7,Number,2
Births Outside Marriage/Civil Partnership,2018,37 years,8,Number,2
Births Outside Marriage/Civil Partnership,2018,37 years,9,Number,1
Births Outside Marriage/Civil Partnership,2018,37 years,10 or more,Number,2
Births Outside Marriage/Civil Partnership,2018,37 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,38 years,Previous liveborn children,Number,719
Births Outside Marriage/Civil Partnership,2018,38 years,0,Number,250
Births Outside Marriage/Civil Partnership,2018,38 years,1,Number,242
Births Outside Marriage/Civil Partnership,2018,38 years,2,Number,127
Births Outside Marriage/Civil Partnership,2018,38 years,3,Number,54
Births Outside Marriage/Civil Partnership,2018,38 years,4,Number,25
Births Outside Marriage/Civil Partnership,2018,38 years,5,Number,10
Births Outside Marriage/Civil Partnership,2018,38 years,6,Number,6
Births Outside Marriage/Civil Partnership,2018,38 years,7,Number,3
Births Outside Marriage/Civil Partnership,2018,38 years,8,Number,2
Births Outside Marriage/Civil Partnership,2018,38 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,38 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,38 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,39 years,Previous liveborn children,Number,623
Births Outside Marriage/Civil Partnership,2018,39 years,0,Number,216
Births Outside Marriage/Civil Partnership,2018,39 years,1,Number,203
Births Outside Marriage/Civil Partnership,2018,39 years,2,Number,112
Births Outside Marriage/Civil Partnership,2018,39 years,3,Number,57
Births Outside Marriage/Civil Partnership,2018,39 years,4,Number,20
Births Outside Marriage/Civil Partnership,2018,39 years,5,Number,9
Births Outside Marriage/Civil Partnership,2018,39 years,6,Number,5
Births Outside Marriage/Civil Partnership,2018,39 years,7,Number,1
Births Outside Marriage/Civil Partnership,2018,39 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,39 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,39 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,39 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,40 years,Previous liveborn children,Number,456
Births Outside Marriage/Civil Partnership,2018,40 years,0,Number,169
Births Outside Marriage/Civil Partnership,2018,40 years,1,Number,147
Births Outside Marriage/Civil Partnership,2018,40 years,2,Number,82
Births Outside Marriage/Civil Partnership,2018,40 years,3,Number,33
Births Outside Marriage/Civil Partnership,2018,40 years,4,Number,12
Births Outside Marriage/Civil Partnership,2018,40 years,5,Number,7
Births Outside Marriage/Civil Partnership,2018,40 years,6,Number,4
Births Outside Marriage/Civil Partnership,2018,40 years,7,Number,1
Births Outside Marriage/Civil Partnership,2018,40 years,8,Number,1
Births Outside Marriage/Civil Partnership,2018,40 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,40 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,40 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,41 years,Previous liveborn children,Number,314
Births Outside Marriage/Civil Partnership,2018,41 years,0,Number,130
Births Outside Marriage/Civil Partnership,2018,41 years,1,Number,104
Births Outside Marriage/Civil Partnership,2018,41 years,2,Number,46
Births Outside Marriage/Civil Partnership,2018,41 years,3,Number,18
Births Outside Marriage/Civil Partnership,2018,41 years,4,Number,7
Births Outside Marriage/Civil Partnership,2018,41 years,5,Number,5
Births Outside Marriage/Civil Partnership,2018,41 years,6,Number,3
Births Outside Marriage/Civil Partnership,2018,41 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,41 years,8,Number,1
Births Outside Marriage/Civil Partnership,2018,41 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,41 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,41 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,42 years,Previous liveborn children,Number,214
Births Outside Marriage/Civil Partnership,2018,42 years,0,Number,76
Births Outside Marriage/Civil Partnership,2018,42 years,1,Number,70
Births Outside Marriage/Civil Partnership,2018,42 years,2,Number,34
Births Outside Marriage/Civil Partnership,2018,42 years,3,Number,11
Births Outside Marriage/Civil Partnership,2018,42 years,4,Number,9
Births Outside Marriage/Civil Partnership,2018,42 years,5,Number,7
Births Outside Marriage/Civil Partnership,2018,42 years,6,Number,3
Births Outside Marriage/Civil Partnership,2018,42 years,7,Number,2
Births Outside Marriage/Civil Partnership,2018,42 years,8,Number,1
Births Outside Marriage/Civil Partnership,2018,42 years,9,Number,1
Births Outside Marriage/Civil Partnership,2018,42 years,10 or more,Number,0
