Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Total Births,2008,25 - 29 years,9,Number,
Total Births,2008,25 - 29 years,10 or more,Number,
Total Births,2008,25 - 29 years,Not stated,Number,103
Total Births,2008,30 - 34 years,Previous liveborn children,Number,25431
Total Births,2008,30 - 34 years,0,Number,9686
Total Births,2008,30 - 34 years,1,Number,9077
Total Births,2008,30 - 34 years,2,Number,4367
Total Births,2008,30 - 34 years,3,Number,1443
Total Births,2008,30 - 34 years,4,Number,422
Total Births,2008,30 - 34 years,5,Number,146
Total Births,2008,30 - 34 years,6,Number,68
Total Births,2008,30 - 34 years,7,Number,37
Total Births,2008,30 - 34 years,8,Number,7
Total Births,2008,30 - 34 years,9,Number,5
Total Births,2008,30 - 34 years,10 or more,Number,
Total Births,2008,30 - 34 years,Not stated,Number,173
Total Births,2008,35 - 39 years,Previous liveborn children,Number,16913
Total Births,2008,35 - 39 years,0,Number,3791
Total Births,2008,35 - 39 years,1,Number,5551
Total Births,2008,35 - 39 years,2,Number,4559
Total Births,2008,35 - 39 years,3,Number,1941
Total Births,2008,35 - 39 years,4,Number,595
Total Births,2008,35 - 39 years,5,Number,176
Total Births,2008,35 - 39 years,6,Number,75
Total Births,2008,35 - 39 years,7,Number,50
Total Births,2008,35 - 39 years,8,Number,32
Total Births,2008,35 - 39 years,9,Number,5
Total Births,2008,35 - 39 years,10 or more,Number,12
Total Births,2008,35 - 39 years,Not stated,Number,126
Total Births,2008,40 - 44 years,Previous liveborn children,Number,3077
Total Births,2008,40 - 44 years,0,Number,611
Total Births,2008,40 - 44 years,1,Number,864
Total Births,2008,40 - 44 years,2,Number,699
Total Births,2008,40 - 44 years,3,Number,489
Total Births,2008,40 - 44 years,4,Number,221
Total Births,2008,40 - 44 years,5,Number,90
Total Births,2008,40 - 44 years,6,Number,44
Total Births,2008,40 - 44 years,7,Number,16
Total Births,2008,40 - 44 years,8,Number,10
Total Births,2008,40 - 44 years,9,Number,6
Total Births,2008,40 - 44 years,10 or more,Number,5
Total Births,2008,40 - 44 years,Not stated,Number,22
Total Births,2008,45 years and over,Previous liveborn children,Number,166
Total Births,2008,45 years and over,0,Number,51
Total Births,2008,45 years and over,1,Number,41
Total Births,2008,45 years and over,2,Number,35
Total Births,2008,45 years and over,3,Number,12
Total Births,2008,45 years and over,4,Number,9
Total Births,2008,45 years and over,5,Number,9
Total Births,2008,45 years and over,6,Number,2
Total Births,2008,45 years and over,7,Number,3
Total Births,2008,45 years and over,8,Number,2
Total Births,2008,45 years and over,9,Number,
Total Births,2008,45 years and over,10 or more,Number,1
Total Births,2008,45 years and over,Not stated,Number,1
Total Births,2008,Age not stated,Previous liveborn children,Number,25
Total Births,2008,Age not stated,0,Number,11
Total Births,2008,Age not stated,1,Number,7
Total Births,2008,Age not stated,2,Number,4
Total Births,2008,Age not stated,3,Number,2
Total Births,2008,Age not stated,4,Number,1
Total Births,2008,Age not stated,5,Number,
Total Births,2008,Age not stated,6,Number,
Total Births,2008,Age not stated,7,Number,
Total Births,2008,Age not stated,8,Number,
Total Births,2008,Age not stated,9,Number,
Total Births,2008,Age not stated,10 or more,Number,
Total Births,2008,Age not stated,Not stated,Number,
Total Births,2008,All ages,Previous liveborn children,Number,75173
Total Births,2008,All ages,0,Number,31431
Total Births,2008,All ages,1,Number,23750
Total Births,2008,All ages,2,Number,12401
Total Births,2008,All ages,3,Number,4705
Total Births,2008,All ages,4,Number,1512
Total Births,2008,All ages,5,Number,488
Total Births,2008,All ages,6,Number,214
Total Births,2008,All ages,7,Number,110
Total Births,2008,All ages,8,Number,52
Total Births,2008,All ages,9,Number,16
Total Births,2008,All ages,10 or more,Number,18
Total Births,2008,All ages,Not stated,Number,476
Total Births,2009,16 years,Previous liveborn children,Number,166
Total Births,2009,16 years,0,Number,163
Total Births,2009,16 years,1,Number,3
Total Births,2009,16 years,2,Number,
Total Births,2009,16 years,3,Number,
Total Births,2009,16 years,4,Number,
